순번,구분,기관명,주소,전화번호,전년도 기관 평가등급,전년도 취업률,월 급여 241만원 이상 일자리 취업률,6개월 이상 취업자 고용유지율
25,국취-위탁,사단법인 한국취업능력개발원,서울특별시 성동구 성수동2가 연무장11길 15(성수동2가) 청운재 2층 ,02-424-1350,,,,
26,국취-위탁,스탭스(주)서울동부센터,서울특별시 송파구 중대로 105(가락동) 302호 ,02-6925-6543,,,,
27,국취-위탁,퍼스트인잡(주) 서울동부지사,서울특별시 강동구 올림픽로 568(성내동) 401호 ,02-6956-2338,,,,
28,고용센터,성동광진고용센터,서울특별시 성동구 성수동2가 연무장길 76(성수동2가) 1~2층 (성수 AK밸리) ,02-2047-9900,,,,
29,고용센터,서울서부고용센터,서울특별시 마포구 마포대로 63-8(도화동)  ,02-2077-6000,,,,
30,국취-위탁,(주)국제커리어센터 서울서부지점,서울특별시 은평구 진흥로 77(역촌동) 5층 ,02-357-7114,,,,
31,국취-위탁,(주)유니에스 서부센터,서울특별시 마포구 마포대로 49(도화동) 707-708호 ,02-6011-1590,,,,
32,국취-위탁,(주)잡모아 서부지점,서울특별시 서대문구 신촌로 21(창천동) 3층 ,02-334-8380,,,,
33,국취-위탁,(주)제이엠커리어 서울서부,서울특별시 마포구 만리재로 15(공덕동) 1303~1304호 ,070-4613-4841,,,,
34,국취-위탁,(주)커리어넷 서울서부지사,서울특별시 서대문구 이화여대1안길 3(대현동) 4층 ,02-362-8894,,,,
35,국취-위탁,서울시중부여성발전센터,서울특별시 마포구 토정로35길 17(용강동) 서울시중부여성발전센터 ,02-719-8431,,,,
36,국취-위탁,인지어스(유)서부지사,"서울특별시 은평구 수색로 217-1(증산동, 디엠씨 자이2단지) 403호 ",02-6232-7494,,,,
37,국취-위탁,(주)지에스씨넷 서울서부지점,서울특별시 용산구 한강대로 324(갈월동) 4층 ,02-771-2883,,,,
38,고용센터,서울강서고용센터,서울특별시 강서구 양천로57길 탐라영재관 2~3층 ,02-2063-6700,,,,
39,고용센터,서울남부고용센터,서울특별시 영등포구 양평동1가 선유로 120(양평동1가) 고용노동부 서울남부고용센터 ,02-2639-2300,,,,
40,국취-위탁,(재)서울현대교육재단,서울특별시 영등포구 당산동6가 양평로12길 13(당산동6가) - ,02-2675-6880,,,,
41,국취-위탁,(주) 리부트코리아 서울센터,서울특별시 영등포구 영신로19길 28(영등포동) 2층 ,02-835-1929,,,,
42,국취-위탁,(주)유니에스 남부센터,서울특별시 양천구 목동로21길 1(신정동) - ,02-6011-1529,,,,
43,국취-위탁,(주)제이엠커리어 서울남부지사,서울특별시 영등포구 문래동3가 문래로 89(문래동3가) 문래비즈타워 5층 501-502호 ,02-6952-4980,,,,
44,국취-위탁,(주)커리어넷 서울남부지사,서울특별시 강서구 마곡중앙6로 93(마곡동) 502호 ,02-2699-6720,,,,
45,국취-위탁,사회적협동조합 내일로 영등포센터,서울특별시 영등포구 당산동3가 당산로33길 7(당산동3가) 6층 ,02-855-8215,,,,
46,국취-위탁,국제커리어센터 서울남부,서울특별시 영등포구 당산동6가 당산로49길 12-1(당산동6가) 2층 ,02-2068-6114,,,,
47,국취-위탁,(주)잡모아,서울특별시 양천구 오목로 180(신정동) - ,02-2645-6777,,,,
48,국취-위탁,스탭스(주) 서울남부센터,서울특별시 강서구 강서로 391(마곡동) 804호 ,02-3665-9486,,,,
49,고용센터,서울북부고용센터,서울특별시 노원구 노해로 450(상계동) 해청빌딩 ,02-2171-1700,,,,
50,국취-위탁,(사)한국직업지도진흥원 노원센터,서울특별시 노원구 동일로218길 17(상계동) 603호 ,02-6959-5570,,,,
51,국취-위탁,(주)잡모아 북부지점,서울특별시 도봉구 마들로11길 25(창동) 201~202호 ,02-990-7744,,,,
52,국취-위탁,(주)제이엠커리어 북부지사,서울특별시 도봉구 노해로 397-15(창동) 812호 ,02-6953-7551,,,,
53,국취-위탁,(주)커리어넷 성신여대사무소,서울특별시 성북구 보문로34다길 2(돈암동) 1층 난초방 110-1호 ,02-920-7965,,,,
54,국취-위탁,㈜커리어넷 서울북부지사,서울특별시 강북구 숭인로 63(미아동) 6층 ,02-988-2262,,,,
55,국취-위탁,국제커리어센터 서울북부,서울특별시 도봉구 노해로65길 17(창동) 701호 ,02-992-6114,,,,
56,국취-위탁,사단법인 한국고용복지센터(서울북부점),서울특별시 노원구 동일로192길 20(공릉동) 4층 ,02-979-5880,,,,
57,국취-위탁,사단법인 한국취업능력개발원 중랑점,서울특별시 중랑구 중랑역로 62(중화동) 2층 ,02-6952-1675,,,,
58,국취-위탁,퍼스트인잡(주) 서울북부지사,서울특별시 중랑구 면목로 481(상봉동) 801~802호 ,02-6951-1248,,,,
59,국취-위탁,노원사회적경제협의회,서울특별시 노원구 동일로 1379(상계동) 601~2호 ,02-952-1193,,,,
60,국취-위탁,(주)지에스씨넷 서울북부지점,서울특별시 성북구 삼선동1가 창경궁로 324(삼선동1가) 3층 302호 ,02-747-8610,,,,
61,고용센터,강북성북고용센터,"서울특별시 강북구 도봉로 풍양빌딩 2층,3층,6층,8층,10층 ",02-3406-0900,,,,
62,고용센터,서울관악고용센터,서울특별시 구로구 디지털로34길 27(구로동) 2-3층 ,02-3282-9200,,,,
63,국취-위탁,(사)한국직업지도진흥원_관악센터,서울특별시 금천구 가산디지털1로 168(가산동) c동 15층 1503 ,070-4128-9544,,,,
64,국취-위탁,(사)한국취업능력개발원,서울특별시 구로구 디지털로33길 27(구로동) 305호 ,02-6951-1706,,,,
65,국취-위탁,(주)메이크인 동작지사,서울특별시 동작구 상도로 285(상도1동) 3~4층 ,02-6949-0113,,,,
66,국취-위탁,(주)잡모아_관악지점,서울특별시 관악구 남부순환로 1797(봉천동) 4층 ,02-838-8860,,,,
67,국취-위탁,(주)지에스씨넷 서울구로지점,서울특별시 구로구 디지털로 285(구로동) - ,02-3281-1949,,,,
68,국취-위탁,국제커리어센터 서울관악지점,서울특별시 구로구 디지털로33길 11(구로동) - ,02-862-2114,,,,
69,국취-위탁,사단법인 한국고용협회,서울특별시 관악구 봉천로 227(봉천동) - ,02-6952-3846,,,,
70,국취-위탁,사회적협동조합내일로 서울지점,서울특별시 관악구 남부순환로 1630(신림동) 5층 501호 ,02-855-8219,,,,
71,국취-위탁,스탭스(주) 구로센터,서울특별시 구로구 디지털로30길 31(구로동) 206호 ,02-2081-1181,,,,
72,고용센터,부산고용센터,부산광역시 부산진구 중앙대로 993(양정동)  ,051-860-1919,,,,
73,국취-위탁,(주)두원잡 부산사무소,부산광역시 연제구 월드컵대로 122(연산동) 그린빌딩 4층 ,051-710-7392,,,,
74,국취-위탁,(주)두원잡 부산중부사무소,부산광역시 중구 중앙동4가 해관로 60(중앙동4가) 2층 ,051-710-7690,,,,
75,국취-위탁,(주)빛솔인재개발원 사하지점,부산광역시 사하구 낙동남로 1400(하단동) 3층 301호 ,051-293-2232,,,,
76,국취-위탁,(주)에듀인잡컨설팅,부산광역시 남구 용소로8번길 48(대연동) 2~3층 ,051-636-8621,,,,
77,국취-위탁,부산희망리본 사회적협동조합,부산광역시 연제구 거제천로 89(거제동) 8층 ,051-714-5173,,,,
78,국취-위탁,부산희망리본 사회적협동조합 사하지점,부산광역시 사하구 승학로 51(당리동) 3층 ,051-714-1491,,,,
79,국취-위탁,인지어스(유) 부산지사,부산광역시 부산진구 중앙대로 899(양정동) 2층 ,051-959-3304,,,,
80,국취-위탁,주식회사 위드온라,부산광역시 부산진구 가야대로 586(가야동) 7층 ,051-711-8990,,,,
81,국취-위탁,주식회사 잡플랜컨설팅,부산광역시 부산진구 중앙대로 747-1(부전동) - ,051-927-9941,,,,
82,국취-위탁,주식회사 잡플랜컨설팅 하단취업센터,"부산광역시 사하구 낙동남로 1423(하단동, 태영빌딩) 3층 ",051-927-9931,,,,
83,국취-위탁,퍼스트인잡(주) 부산지사,부산광역시 동구 범일로 102(범일동) 9층 ,051-714-2480,,,,
84,국취-위탁,(주)지에스씨넷 부산지점,"부산광역시 남구 수영로 304(대연동, 대승타워) 801호 ",051-627-1949,,,,
85,국취-위탁,국제커리어센터 부산남구,부산광역시 남구 수영로 237(대연동) 701호 ,051-621-9114,,,,
86,국취-위탁,(주)제이엠커리어 부산지사,부산광역시 연제구 중앙대로 1053(연산동) 6층 1호 ,051-442-6002,,,,
87,고용센터,부산사하고용센터,부산광역시 사하구 낙동남로 정우헤리티지 빌딩 8~10층 ,051-520-4900,,,,
88,고용센터,부산동부고용센터,부산광역시 수영구 수영로 676 ,051-760-7100,,,,
89,국취-위탁,퍼스트인잡(주),부산광역시 해운대구 해운대로 407(우동) 802호 ,051-914-2488,,,,
90,국취-위탁,(주)커리어넷 부산남산지사,부산광역시 금정구 중앙대로 2029(남산동) 4층 ,051-711-1804,,,,
91,국취-위탁,(주)두원잡부산동부사무소,부산광역시 동래구 충렬대로 146(온천동) 4층 ,051-710-7431,,,,
92,국취-위탁,(주)맥시머스 부산동부,부산광역시 수영구 수영로 690-5(광안동) 1001호 ,051-755-8219,,,,
93,국취-위탁,(주)소암,부산광역시 금정구 중앙대로1719번길 23(부곡동) 501호 ,051-802-7172,,,,
94,국취-위탁,(주)지에스씨넷 부산동부,부산광역시 수영구 수영로 690-5(광안동) 1401호 ,051-753-1949,,,,
95,국취-위탁,(주)취업인,부산광역시 금정구 금정로 77-1(장전동) 2층 ,051-512-0055,,,,
96,국취-위탁,(주)취업인  해운대지점,부산광역시 해운대구 세실로69번길 15(좌동) 1001호 ,051-704-0552,,,,
97,국취-위탁,(주)커리어넷 부산동부지사,부산광역시 수영구 수영로 724-1(광안동) 2층 ,051-752-8233,,,,
98,국취-위탁,스탭스(주)부산동부센터,부산광역시 동래구 명륜로 141(명륜동) 6층 ,051-558-5733,,,,
99,국취-위탁,퍼스트인잡(주) 금정지사,부산광역시 금정구 부산대학로 23(장전동) 3층 ,051-923-2488,,,,
100,국취-위탁,퍼스트인잡(주) 동래지사,부산광역시 동래구 명륜로 90(수안동) 3층 ,051-711-2488,,,,
101,고용센터,부산북부고용센터,부산광역시 북구 화명대로 9(화명동)  ,051-330-9900,,,,
102,국취-위탁,(주)가이드잡 부산북부지사,부산광역시 사상구 사상로 208-1(괘법동) 티오피10층 ,070-8820-9811,,,,
103,국취-위탁,(주)두원잡 덕천사무소,부산광역시 북구 기찰로 12(덕천동) 8층 801~3호 ,051-336-8735,,,,
104,국취-위탁,(주)빛솔인재개발원,부산광역시 북구 화명대로 27(화명동) 윤프라자 304호 ,070-7779-2745,,,,
105,국취-위탁,㈜두원잡 사상사무소,부산광역시 사상구 사상로 208-1(괘법동) 1102호 ,051-710-5120,,,,
106,국취-위탁,㈜두원잡 주례사무소,부산광역시 사상구 가야대로 348(주례동) KL빌딩9층 901호 ,051-710-4122,,,,
107,국취-위탁,㈜맥시머스 동서대지점,부산광역시 사상구 가야대로 370(주례동) 3층 ,051-710-8219,,,,
108,국취-위탁,㈜맥시머스 부산지점,부산광역시 북구 만덕대로 35(덕천동) 8층 ,051-364-5563,,,,
109,국취-위탁,㈜잡플러스넷,부산광역시 사상구 가야대로 370(주례동) 10층 2호 ,051-967-5321,,,,
110,국취-위탁,인지어스(유)부산북부지사,부산광역시 북구 만덕대로 13(덕천동) 6층 ,051-921-2276,,,,
111,국취-위탁,국제커리어센터 부산북부지점,부산광역시 사상구 가야대로 348(주례동) 201호 ,051-322-2114,,,,
112,고용센터,마산고용센터,경상남도 창원시 마산회원구 3·15대로 무학빌딩 3~6층 ,055-259-1500,,,,
113,고용센터,창원고용센터,경상남도 창원시 성산구 마디미서로 60(상남동) 창원고용복지+센터(1~7층) ,055-239-0900,,,,
114,국취-위탁,(주)경남취업지원센터,경상남도 창원시 마산회원구 3·15대로 629 2층 ,055-251-9568,,,,
115,국취-위탁,(주)두원잡 창원지사,경상남도 창원시 성산구 중앙대로 95(중앙동) 705호 ,055-715-7300,,,,
116,국취-위탁,(주)맥시머스 창원지점,경상남도 창원시 성산구 용지로 94(중앙동) 7층 709호 ,055-713-8219,,,,
117,국취-위탁,(주)아이비잡스마산지점,경상남도 창원시 마산회원구 양덕로 160(양덕동) 405호 ,055-292-4048,,,,
118,국취-위탁,(주)제이엠커리어 마산지사,경상남도 창원시 마산합포구 해안대로 2(해운동) 901호 ,055-713-8866,,,,
119,국취-위탁,(주)제이엠커리어 창원지사,경상남도 창원시 성산구 창원대로 754(외동) 3층 ,055-283-3260,,,,
120,국취-위탁,(주)키움커리어,경상남도 창원시 의창구 퇴촌로25번길 6-16(사림동) 2층 ,055-267-3100,,,,
121,국취-위탁,사단법인 경남산업기술진흥법인,경상남도 창원시 성산구 마디미로 2(상남동) 미도빌딩 4-5층 ,055-286-1060,,,,
122,국취-위탁,사단법인경남산업기술진흥법인(창원마산사무소),경상남도 창원시 마산회원구 3·15대로 664 청암빌딩 3층 ,055-252-1060,,,,
123,국취-위탁,주식회사 케이엔잡,경상남도 창원시 성산구 용지로 149(용호동) 2층 ,055-274-3589,,,,
124,국취-위탁,복음취업센터,경상남도 창원시 성산구 상남로 71(상남동) 502호 ,055-289-7244,,,,
125,고용센터,함안고용센터,경상남도 함안군 가야읍 남경길 함안메디컬센터 4층 ,055-278-9210,,,,
126,고용센터,창녕고용센터,경상남도 창녕군 창녕읍 군청길 성동빌딩 9층 ,055-278-9250,,,,
127,고용센터,울산고용센터,울산광역시 남구 화합로  ,052-228-1919,,,,
128,국취-위탁,(사)울산YWCA,울산광역시 남구 삼호로 81(무거동) - ,052-247-3520,,,,
129,국취-위탁,(주)두원잡 울산지사,울산광역시 남구 삼산로 37(신정동) 701호 ,052-707-7401,,,,
130,국취-위탁,(주)맥시머스 울산중부지점,울산광역시 중구 젊음의2거리 29(성남동) 1301호 ,052-211-8219,,,,
131,국취-위탁,(주)아이앤제이커리어컨설팅센터 중구지사,울산광역시 중구 젊음의2거리 29(성남동) 502호 ,052-933-9411,,,,
132,국취-위탁,(주)위더스,울산광역시 남구 북부순환도로 17(무거동) 1312호 ,070-7010-9295,,,,
133,국취-위탁,(주)제니엘 울산센터,울산광역시 동구 방어진순환도로 1132(서부동) 4층 ,052-716-3177,,,,
134,국취-위탁,(주)좋은일자리,울산광역시 남구 수암로 5(신정동) 3층 ,052-263-3500,,,,
135,국취-위탁,(주)좋은일자리 동구지사,울산광역시 동구 방어진순환도로 678(일산동) 3층 ,052-966-3500,,,,
136,국취-위탁,(주)좋은일자리 북부센터,울산광역시 북구 송내4길 14(화봉동) 2층 ,052-913-3500,,,,
137,국취-위탁,(주)좋은일자리 서부센터,울산광역시 울주군 범서읍 굴화1길 60 2층 ,052-915-3500,,,,
138,국취-위탁,(주)지에스씨넷 울산지점,울산광역시 남구 화합로 198(삼산동) 3층 ,052-261-1949,,,,
139,국취-위탁,퍼스트인잡(주)울산지사,울산광역시 중구 번영로 576(남외동) 4층 ,052-708-2488,,,,
140,고용센터,김해고용센터,경상남도 김해시 호계로 441(부원동) - ,055-330-6400,,,,
141,국취-위탁,(주)두원잡 김해지사,경상남도 김해시 호계로 411(부원동) 901호 ,055-724-3041,,,,
142,국취-위탁,(주)맥시머스 김해지점,경상남도 김해시 가락로30번길 13(부원동) 304~305호 ,055-312-8219,,,,
143,국취-위탁,(주)지앤제이커리어,경상남도 김해시 장유로 232(부곡동) 703호 ,055-724-2321,,,,
144,국취-위탁,(주)케이엔잡 김해지사,경상남도 김해시 내외중앙로 44(외동) 601호 ,055-312-3574,,,,
145,국취-위탁,인지어스(유)김해지사,경상남도 김해시 호계로 418(부원동) 301호 ,055-904-3330,,,,
146,국취-위탁,퍼스트인잡(주)김해지사,경상남도 김해시 가락로 26(부원동) 801호 ,055-723-2488,,,,
147,국취-위탁,복음취업센터 김해사무소,경상남도 김해시 호계로 411(부원동) 201호 ,055-339-7244,,,,
148,고용센터,밀양고용센터,"경상남도 밀양시 백민로 2층, 4층 ",055-350-2800,,,,
149,고용센터,양산고용센터,경상남도 양산시 중부로  ,055-379-2400,,,,
150,국취-위탁,㈜_두원잡 양산사무소,경상남도 양산시 양산역로 103(중부동) 402호 ,055-785-0150,,,,
151,국취-위탁,㈜경남취업지원센터 양산지사,경상남도 양산시 양산역1길 18(중부동) 701호 ,055-781-0180,,,,
152,국취-위탁,㈜잡앤아스 양산지사,경상남도 양산시 삽량로 199(중부동) 205호 ,055-381-7109,,,,
153,국취-위탁,㈜잡앤아스 웅상지사,경상남도 양산시 덕계로 148(평산동) 6층 ,055-383-7109,,,,
154,고용센터,진주고용센터,경상남도 진주시 진양호로  ,055-753-9090,,,,
155,국취-위탁,(사)한국커리어 진주지사,경상남도 진주시 진주대로 528(가좌동) 501호 ,055-923-1829,,,,
156,국취-위탁,(주)두원잡 진주지사,경상남도 진주시 진주대로 1044(동성동) 2층 ,055-795-6781,,,,
157,국취-위탁,(주)제이엠커리어 진주지사,"경상남도 진주시 진주대로 888(칠암동) 301,302호 ",055-794-1012,,,,
158,국취-위탁,퍼스트인잡(주) 진주지사,경상남도 진주시 동진로 34(칠암동) 4층 408호 ,055-795-2488,,,,
159,고용센터,하동고용센터,경상남도 하동군 진교면 민다리안길  ,055-880-5510,,,,
160,고용센터,거창고용센터,경상남도 거창군 거창읍 송정8길  ,055-949-6589,,,,
161,고용센터,사천고용센터,경상남도 사천시 사천읍 옥산로 113 4층 ,055-760-6590,,,,
162,고용센터,통영고용센터,경상남도 통영시 광도면 죽림1로  ,055-650-1800,,,,
163,국취-위탁,(주)제이엠커리어 거제지사,경상남도 거제시 거제중앙로31길 11(고현동) 3층 ,055-638-3255,,,,
164,국취-위탁,(주)한국커리어 경남지사,경상남도 통영시 무전대로 23(무전동) 2층 ,055-990-8219,,,,
165,국취-위탁,퍼스트인잡(주) 거제지사,경상남도 거제시 서문로6길 1(고현동) 3층 ,055-633-6226,,,,
166,고용센터,거제고용센터,경상남도 거제시 서문로5길 6(고현동) 우형빌딩 3층 ,055-730-1919,,,,
167,고용센터,고성고용센터,경상남도 고성군 고성읍 동외로 175  ,055-650-1841,,,,
168,고용센터,대구서부고용센터,대구광역시 서구 서대구로 9(내당동)  ,053-605-6500,,,,
169,국취-위탁,(주)에스에이치피 대구사무소,대구광역시 달서구 성서로 377(이곡동) - ,053-588-7655,,,,
170,국취-위탁,(주)일로이룸 달서취업지원센터,대구광역시 달서구 용산로 124(감삼동) 3층 ,053-559-6668,,,,
171,국취-위탁,(주)일로이룸 달성취업지원센터,대구광역시 달성군 화원읍 비슬로 2494 2층 ,053-639-9980,,,,
172,국취-위탁,(주)일로이룸 서부취업지원센터,대구광역시 달서구 월배로 222(상인동) 써브웨이3층(상인역4번출구) ,053-656-8271,,,,
173,국취-위탁,(주)일로이룸 왜관취업지원센터,경상북도 칠곡군 왜관읍 관문로 33 2층 ,054-972-3004,,,,
174,국취-위탁,(주)지에스씨넷 대구서부지점,대구광역시 달서구 월곡로 267-1(상인동) 2층 ,053-643-1949,,,,
175,국취-위탁,(주)지에스씨넷 대구지점,대구광역시 서구 달구벌대로 1747(내당동) 6층 ,053-584-1949,,,,
176,국취-위탁,(주)커리어넷 대구서부지사,대구광역시 서구 달구벌대로 1733(내당동) 2층 ,053-522-9580,,,,
177,국취-위탁,(주)커리어스타 달서지점,대구광역시 달서구 월배로 203(상인동) 4층 ,053-628-8842,,,,
178,국취-위탁,(주)커리어스타 달성지점,대구광역시 달성군 현풍읍 테크노상업로 48 - ,053-641-8842,,,,
179,국취-위탁,(주)행복인디제이 달서지사,대구광역시 남구 대명로 6(대명동) 11층 ,053-525-8597,,,,
180,국취-위탁,달구벌여성인력개발센터,대구광역시 서구 달구벌대로337길 9(내당동) - ,053-262-1331,,,,
181,고용센터,칠곡고용센터,경상북도 칠곡군 왜관읍 중앙로 146  ,054-970-1919,,,,
182,고용센터,대구달성고용센터,대구광역시 달성군 논공읍 논공중앙로34길  ,053-605-9510,,,,
183,고용센터,대구고용센터,대구광역시 수성구 동대구로  ,053-667-6000,,,,
184,국취-위탁,(사)경북경영자총협회 영천사무소,경상북도 영천시 금완로 63(완산동) 1층 ,054-336-6547,,,,
185,국취-위탁,(주)국제커리어센터 대구동부,대구광역시 동구 동대구로 591(신암동) 4층 ,053-944-9114,,,,
186,국취-위탁,(주)일로이룸 강북취업지원센터,"대구광역시 북구 칠곡중앙대로 312(태전동, 강북 화성파크드림) 107동 201호 202호 ",053-312-2599,,,,
187,국취-위탁,(주)일로이룸 경산1취업지원센터,경상북도 경산시 경안로 226(중방동) 3층 ,053-812-0980,,,,
188,국취-위탁,(주)일로이룸 동부취업지원센터,대구광역시 동구 아양로 18(신암동) 4층 ,053-741-3056,,,,
189,국취-위탁,(주)일로이룸 동천취업지원센터,대구광역시 북구 학정로 415(동천동) 402호 ,053-313-7010,,,,
190,국취-위탁,(주)일로이룸 수성취업지원센터,대구광역시 수성구 달구벌대로 3177(매호동) 5층 ,053-742-7063,,,,
191,국취-위탁,(주)일로이룸 이룸취업지원센터,대구광역시 동구 안심로 280(동호동) 3층 ,053-716-6771,,,,
192,국취-위탁,(주)일로이룸 하양취업지원센터,"경상북도 경산시 하양읍 하양로 69 4층 404-1,2호 ",053-812-1031,,,,
193,국취-위탁,(주)제이엠커리어대구지사,대구광역시 동구 동부로22길 2(신천동) 402호 ,053-710-1263,,,,
194,국취-위탁,(주)지에스씨넷 경산지점,경상북도 경산시 중앙로 77(중방동) 5층 ,053-813-1949,,,,
195,국취-위탁,(주)지에스씨넷 경산하양지점,경상북도 경산시 하양읍 대경로 669-7() 보광빌 2층 ,053-854-1949,,,,
196,국취-위탁,(주)지에스씨넷 대구북구지점,대구광역시 북구 칠성동2가 옥산로 95(칠성동2가) 304호 ,053-351-1949,,,,
197,국취-위탁,(주)지에스씨넷 대구수성지점,대구광역시 수성구 달구벌대로528길 6(만촌동) - ,053-754-1949,,,,
198,국취-위탁,(주)커리어넷 대구지사,대구광역시 중구 동성로3가 중앙대로 385-1(동성로3가) 2층 ,053-255-7378,,,,
199,국취-위탁,(주)커리어스타 복현점,대구광역시 북구 공항로 3(복현동) 5층 ,053-384-8842,,,,
200,국취-위탁,(주)행복인디제이,"대구광역시 중구 동성로3가 중앙대로 390(동성로3가) 센트럴엠빌딩 2층 2063,207호 ",053-751-9001,,,,
201,국취-위탁,(주)행복인디제이 경산지사,경상북도 경산시 경안로 195(중방동) 4층 ,053-811-9012,,,,
202,국취-위탁,스탭스(주)대구동부센터,대구광역시 동구 아양로 28(신암동) 4층 ,053-945-1440,,,,
203,고용센터,경산고용센터,경북 경산시 경안로 223(경산상공회의소 1층),053-667-6800,,,,
204,고용센터,대구강북고용센터,대구광역시 북구 칠곡중앙대로 318(태전동)  ,053-606-8000,,,,
205,고용센터,대구동부고용센터,대구광역시 동구 아양로  ,053-667-6900,,,,
206,고용센터,영천고용센터,경상북도 영천시 금완로 63(완산동)  ,054-778-2591,,,,
207,고용센터,포항고용센터,경상북도 포항시 북구 중흥로  ,054-280-3000,,,,
208,국취-위탁,(주)아이비잡스,경상북도 포항시 북구 죽도로40번길 17(죽도동) 1층 ,054-272-3401,,,,
209,국취-위탁,(주)아이비잡스 포항대학교사무소,경상북도 포항시 북구 천마로71번길 6(양덕동) 3층 ,054-272-2504,,,,
210,국취-위탁,(주)일로이룸 경주취업지원센터,경상북도 경주시 원화로 378(동천동) 3층 ,054-743-8810,,,,
211,국취-위탁,(주)지에스씨넷 경주성건지점,경상북도 경주시 금성로 421(성건동) 2층 ,054-741-1949,,,,
212,국취-위탁,(주)지에스씨넷 포항지점,경상북도 포항시 북구 중흥로 232(죽도동) 501호 ,054-285-1949,,,,
213,국취-위탁,인지어스(유) 경주지사,경상북도 경주시 화랑로 94(동부동) 4층 ,054-620-0476,,,,
214,국취-위탁,인지어스(유) 포항남구지사,경상북도 포항시 남구 중흥로 98(상도동) 6층 ,054-614-0463,,,,
215,고용센터,경주고용센터,"경상북도 경주시 원화로 3,6,7,8층 ",054-778-2500,,,,
216,고용센터,구미고용센터,경상북도 구미시 백산로 118(송정동)  ,054-440-3300,,,,
217,국취-위탁,(사)경북경영자총협회 구미사무소,경상북도 구미시 구미대로 350-27(신평동) 구미시종합비즈니스지원센터 307호 ,054-461-5539,,,,
218,국취-위탁,(사)경북경영자총협회 김천사무소,경상북도 김천시 신양길 19(신음동) 2층 ,054-439-5505,,,,
219,국취-위탁,(주)경북고용성장지원센터,경상북도 구미시 야은로 366(도량동) - ,054-441-1313,,,,
